"keys","en","tr"
"d2.obs.choice.001","CHECK THE FINDER SCOPE","BULUCU DÜRBÜNÜ KONTROL ET"
"d2.obs.choice.002","KEEP WORKING","ÇALIŞMAYA DEVAM ET"
"d2.obs.choice.003","ASK METİN","METİN'E SOR"
"d2.obs.choice.004","LET IT BE","KENDİ HÂLİNE BIRAK"
"d2.obs.ebru.001","You're early. Daylight early. Should I be worried or flattered?","Erkencisin. Güpegündüz erken. Endişelenmeli miyim, gururlanmalı mıyım?"
"d2.obs.ebru.002","In both polarizations, as the sky drifts through. Basic. If it's real sky, it can't hide in one horn.","Gök kaydıkça, iki polarizasyonda da. Temel mantık. Gerçek gökse tek boynuzda saklanamaz."
"d2.obs.ebru.003","Beam two. Only beam two. Even when the pointing changes. ALWAYS beam two.","Huzme iki. Sadece huzme iki. Yönelme değişse bile. HER ZAMAN huzme iki."
"d2.obs.ebru.004","That's not a source, Hocam. That's a wire fault with taste.","Bu bir kaynak değil, Hocam. Bu, zevk sahibi bir kablo arızası."
"d2.obs.hoca.001","The sanity check. Now, while it's quiet. A fixed source has to show in all three beams.","Mantık kontrolü. Şimdi, ortalık sakinken. Sabit bir kaynak üç huzmenin üçünde de görünmek zorunda."
"d2.obs.hoca.002","That's not possible for anything that lives in the sky.","Gökyüzünde yaşayan hiçbir şey için bu mümkün değil."
"d2.obs.hoca.003","Veli's eastern star... there. A point of light. Not in the catalog.","Veli'nin doğu yıldızı... işte orada. Bir ışık noktası. Katalogda yok."
"d2.obs.hoca.004","Not moving, either. Noted. Filed under 'later'.","Kımıldamıyor da. Not edildi. 'Sonra' diye dosyalandı."
"d2.obs.hoca.005","...Understood, Director.","...Anlaşıldı, Müdürüm."
"d2.obs.hoca.006","Metin stopped humming. The printout came out, and he just... stopped.","Metin mırıldanmayı bıraktı. Çıktı geldi, o da öylece... durdu."
"d2.obs.hoca.007","Metin. You went quiet. The data's still good, isn't it?","Metin. Sessizleştin. Veri hâlâ iyi, değil mi?"
"d2.obs.hoca.008","Again. Same interval. You could set a clock by it.","Yine. Aynı aralık. Saatini ona göre kurabilirsin."
"d2.obs.hoca.009","...Why would the console even offer that.","...Konsol bunu neden teklif etsin ki."
"d2.obs.metin.001","...Low pressure coming. I feel it in the racks. Goodnight, Deniz Bey.","...Alçak basınç geliyor. Raflarda hissediyorum. İyi geceler, Deniz Bey."
"d2.obs.sys.001","BEAM SCAN — CANDIDATE T1. PAN BEAMS 1 THROUGH 3.","HUZME TARAMASI — ADAY T1. 1'DEN 3'E HUZMELERİ TARA."
"d2.obs.sys.002","23:40. LIVE FEED. BEAM 2.","23:40. CANLI YAYIN. BEAM 2."
"d2.obs.sys.003","NEW VERB: ANSWER — UNAVAILABLE.","YENİ FİİL: YANITLA — KULLANILAMIYOR."
"d2.obs.tezcan.001","Equipment fault, Deniz. The dish is old. Old things sing.","Ekipman arızası, Deniz. Çanak yaşlı. Yaşlı şeyler şarkı söyler."
"d2.obs.tezcan.002","Grant renewal is next month. I need working astronomers, not prophets.","Hibe yenilemesi gelecek ay. Bana çalışan gökbilimciler lazım, kâhinler değil."
"d2.obs.tezcan.003","Don't hang a career on a broken feed horn. I watched better men do it.","Bozuk bir besleme boynuzuna kariyer asma. Senden iyilerinin bunu yaptığını gördüm."
"d2.road.hoca.001","The town has a long arm.","Kasabanın kolu uzun."
"d2.road.hoca.002","Stars don't do that, Veli.","Yıldızlar bunu yapmaz, Veli."
"d2.road.ismet.001","From Kadir. Well — from Zeliha, which is why it's the good lokum. He says you skipped tea.","Kadir'den. Yani — Zeliha'dan, o yüzden lokum bu kadar iyi. Çayı ektin, diyor."
"d2.road.veli.001","Hoca. The eastern star moved last night. A fingerwidth. Then it felt me looking, and it stopped.","Hoca. Doğu yıldızı dün gece kıpırdadı. Bir parmak genişliği kadar. Sonra baktığımı hissetti, durdu."
"d2.road.veli.002","I know what stars do. I watch them more than you. Just without the paperwork.","Yıldızların ne yaptığını bilirim. Onları senden çok izlerim. Sadece kâğıt işi olmadan."
"d2.town.fadime.001","You didn't look at the bread, Hoca.","Ekmeğe bakmadın, Hoca."
"d2.town.fadime.002","You looked at where it was. Different thing. Go on, then.","Onun yerine baktın. Başka şey o. Hadi, git işte."
"d2.town.hoca.001","What? I looked.","Ne? Baktım ya."
"d2.town.hoca.002","Tomorrow, Şükrü Bey. I'm... mid-sentence with something.","Yarın, Şükrü Bey. Bir şeyin... tam ortasındayım."
"d2.town.sukru.001","No game today either? The board remembers, Deniz.","Bugün de mi yok oyun? Tahta unutmaz, Deniz."
"d3.home.hoca.001","Kettle's on. Radio's on. Deputy — breakfast.","Çaydanlık ocakta. Radyo açık. Vekil — kahvaltı."
"d3.home.hoca.002","The kitchen is fine, madam. The radio offends you personally?","Mutfakta bir terslik yok, madam. Radyo seni şahsen mi gücendiriyor?"
"d3.home.hoca.003","Noted for the record: cat versus radio. Radio's winning.","Not düşüldü: kedi radyoya karşı. Şu an radyo önde."
"d3.home.yildiz.001","Mrrrl. (She stops at the kitchen doorway and will not cross it.)","Mırrl. (Mutfak kapısında durur, eşiği geçmez.)"
"d3.obs.choice.001","SEND NOW","ŞİMDİ GÖNDER"
"d3.obs.choice.002","SLEEP ON IT","SABAHA BIRAK"
"d3.obs.ebru.001","Clipboard. Real paper. If we kill this thing, we kill it by the book.","Pano. Gerçek kağıt. Bu şeyi öldüreceksek, usulüne uygun öldürürüz."
"d3.obs.ebru.002","Drift is consistent with a body in solar orbit. Not a tower. Not a satellite. Not us.","Kayma, güneş yörüngesindeki bir cisimle uyumlu. Kule değil. Uydu değil. Biz değil."
"d3.obs.ebru.003","I hate that. I want it on the record that I hate that.","Bundan nefret ediyorum. Kayıtlara geçsin: bundan nefret ediyorum."
"d3.obs.ebru.004","Three matches. The archive batch has three RFI matches. Hocam... this is how candidates die.","Üç eşleşme. Arşiv grubunda üç RFI eşleşmesi var. Hocam... adaylar böyle ölür."
"d3.obs.ebru.005","Twelve forty. Thirteen ten. Twelve fifty-five... Wait. Those are lunch hours.","On iki kırk. On üç on. On iki elli beş... Dur. Bunlar öğle yemeği saatleri."
"d3.obs.ebru.006","My soup. This is about my soup, isn't it.","Çorbam. Bütün mesele çorbam, değil mi?"
"d3.obs.ebru.007","The chirps are gone. And it's still there. Clean. Patient. In beam two.","Cırlamalar kesildi. Ama o hâlâ orada. Temiz. Sabırlı. Huzme 2'de."
"d3.obs.ebru.008","Did you just acquit the microwave?","Az önce mikrodalgayı akladın mı yoksa?"
"d3.obs.hoca.001","Point away — gone. Point back — there. Mid-syllable. As if it hadn't noticed us leave.","Uzağa çevir — kayboluyor. Geri çevir — yine orada. Hecenin tam ortasında. Sanki gittiğimizi fark etmemiş gibi."
"d3.obs.hoca.002","Show me the match times.","Eşleşme saatlerini göster."
"d3.obs.hoca.003","The break room.","Mola odası."
"d3.obs.hoca.004","Opening the door before the timer ends. It spits a chirp across the whole band, Ebru. Every lunch.","Kapıyı süre bitmeden açmak. Bütün bandı bir cırlamayla dolduruyor, Ebru. Her öğlen."
"d3.obs.hoca.005","Metin. It's a microwave, not a mine.","Metin. O bir mikrodalga, mayın değil."
"d3.obs.hoca.006","You're free to go.","Serbestsin."
"d3.obs.hoca.007","It survived every test that killed every candidate before it. Every one, Ebru.","Ondan önceki her adayı öldüren her testten sağ çıktı. Hepsinden, Ebru."
"d3.obs.hoca.008","Once I send this, it isn't mine anymore. It becomes weather. Everyone's weather.","Bunu gönderdiğim an artık benim değil. Hava durumuna dönüşüyor. Herkesin hava durumuna."
"d3.obs.hoca.009","Sent. There. Now we find out whose sky it is.","Gönderildi. İşte. Şimdi kimin göğü olduğunu öğreneceğiz."
"d3.obs.hoca.010","Morning eyes. A request like this deserves morning eyes.","Sabah gözleri. Böyle bir talep sabah gözlerini hak ediyor."
"d3.obs.sys.001","CHECK 1 — DRIFT RATE.","KONTROL 1 — KAYMA ORANI."
"d3.obs.sys.002","CHECK 1: PASS.","KONTROL 1: GEÇTİ."
"d3.obs.sys.003","CHECK 2 — ON/OFF SOURCE NODDING.","KONTROL 2 — KAYNAKTAN SAPMA / KAYNAĞA YÖNELME."
"d3.obs.sys.004","CHECK 2: PASS.","KONTROL 2: GEÇTİ."
"d3.obs.sys.005","CHECK 3 — RFI DATABASE CROSS-MATCH.","KONTROL 3 — RFI VERİTABANI ÇAPRAZ EŞLEŞTİRME."
"d3.obs.sys.006","TEST DETECTION RUNNING...","TEST TESPİTİ ÇALIŞIYOR..."
"d3.obs.sys.007","RFI CHIRPS: ABSENT.","RFI CIRLAMALARI: YOK."
"d3.obs.sys.008","T1: PRESENT. BEAM 2. UNCHANGED.","T1: MEVCUT. HUZME 2. DEĞİŞMEDİ."
"d3.obs.sys.009","DRAFT — TO: MILLBROOK RADIO OBSERVATORY, WEST VIRGINIA. SUBJECT: REQUEST FOR INDEPENDENT CONFIRMATION.","TASLAK — KİME: MILLBROOK RADYO GÖZLEMEVİ, BATI VIRGINIA. KONU: BAĞIMSIZ DOĞRULAMA TALEBİ."
"d3.obs.sys.010","SENT — 04:12. (ONE TYPO.)","GÖNDERİLDİ — 04:12. (BİR YAZIM HATASI.)"
"d3.town.cemal.001","Deniz! Tell this man about the offside. You saw it. Everyone saw it.","Deniz! Şu adama ofsaytı anlat. Sen gördün. Herkes gördü."
"d3.town.cemal.002","You're no use at all today, Hoca. Go. Feed your telescope.","Bugün hiçbir işe yaramıyorsun, Hoca. Git. Teleskobunu besle."
"d3.town.choice.001","LISTEN TO THE RADIO","RADYOYU DİNLE"
"d3.town.choice.002","MOVE ON","DEVAM ET"
"d3.town.hoca.001","Noon. The square looks... rearranged. Same stones. Wrong shadows.","Öğle vakti. Meydan sanki... yeniden düzenlenmiş. Aynı taşlar. Yanlış gölgeler."
"d3.town.hoca.002","I back the losing side, Cemal. It's a fixed policy.","Kaybeden tarafı tutarım, Cemal. Sabit bir ilkedir bu."
"d3.town.hoca.003","...This bulletin. It's yesterday's. Same news. Same stumble on 'municipality'.","...Bu bülten. Dünkünün aynısı. Aynı haberler. 'Belediye' kelimesinde aynı takılma."
"d3.town.hoca.004","Same lottery numbers. Those don't repeat. That's the entire point of them.","Aynı piyango numaraları. Onlar tekrar etmez. Bütün mesele de bu zaten."
"d3.town.hoca.005","Yesterday's numbers, on today's broadcast. ...Filed under 'later'. The file is getting thick.","Dünün sayıları, bugünkü yayında. ...'Sonraya' dosyalandı. Dosya kalınlaşıyor."
"d3.town.musa.001","Yesterday's ticket? Posted right there on the door. My monument to almost.","Dünkü bilet mi? Şurada, kapıda asılı duruyor. Ramak kala'nın anıtıyım işte."
"d4.home.hoca.001","Fourteen hundred. It's fourteen hundred hours.","On dört sıfır sıfır. Saat on dört sıfır sıfır."
"d4.home.hoca.002","The kettle is cold. The kettle is never cold.","Çaydanlık soğuk. Çaydanlık hiç soğuk olmaz."
"d4.home.hoca.003","At least one of us still treats it like paper.","En azından birimiz ona hâlâ kâğıt muamelesi yapıyor."
"d4.home.yildiz.001","Mrrr. (She is asleep on the printout and has been for some time.)","Mırrr. (Çıktının üstünde uyuyor. Bir süredir öyle.)"
"d4.obs.ebru.001","It rises for them in twenty minutes. I checked the line twice. I made the phone ring from my pocket.","Onlarda yirmi dakikaya doğuyor. Hattı iki kez kontrol ettim. Telefonu cebimden kendim çaldırdım."
"d4.obs.ebru.002","Say it again. Make her say it again.","Tekrar söyle. Ona bir daha söylet."
"d4.obs.ebru.003","It's real. Hocam. It's real, and it's ours, and it's — it's everyone's now.","Gerçek. Hocam. Gerçek — hem bizim, hem de artık herkesin."
"d4.obs.hoca.001","Sit down, Ebru. Or don't. I'm not sitting either.","Otur, Ebru. Ya da oturma. Ben de oturmuyorum zaten."
"d4.obs.hoca.002","Sarptepe.","Sarptepe."
"d4.obs.hoca.003","...","..."
"d4.obs.hoca.004","No instrument I have ever read about. Goodnight, Dr. Petrides. And — thank you.","Okuduğum hiçbir cihaz bunu yapmaz. İyi geceler, Dr. Petrides. Ve — teşekkür ederim."
"d4.obs.lena.001","Dr. Aydın. Lena Petrides, Millbrook. ...We hear it too.","Dr. Aydın. Lena Petrides, Millbrook. ...Biz de duyuyoruz."
"d4.obs.lena.002","One thing. It's only in one beam here as well. OUR beam two. Doctor — whose instrument does that?","Bir şey var. Burada da sadece tek huzmede. BİZİM beam 2'mizde. Doktor — hangi cihaz bunu yapar?"
"d4.obs.ticker.001","...BREAKING: SECOND OBSERVATORY CONFIRMS ANOMALOUS SIGNAL...","...SON DAKİKA: İKİNCİ GÖZLEMEVİNDEN ANOMALİ SİNYAL DOĞRULAMASI..."
"d4.town.choice.001","COUNT THE FLICKER","TİTREMEYİ SAY"
"d4.town.choice.002","LET IT FLICKER","BIRAK TİTRESİN"
"d4.town.elif.001","Second question. It's been days. The notebook has standards.","İkinci soru. Günler oldu. Defterin standartları var."
"d4.town.elif.002","You said the sky is full of last words. So — is anyone still saying them?","Gökyüzü son sözlerle doluymuş, demiştin. Peki — hâlâ söyleyen var mı?"
"d4.town.elif.003","You said the sky is old news. So who delivers the new news?","Gökyüzü eski habermiş, demiştin. Peki yeni haberi kim getiriyor?"
"d4.town.elif.004","I know. Answer anyway.","Biliyorum. Yine de cevap ver."
"d4.town.hoca.001","One roll and I'm already losing gracefully. As trained.","Bir atışta zaten centilmence kaybediyorum. Eğitildiğim gibi."
"d4.town.hoca.002","...You ask better questions than the people I studied with, Elif.","...Birlikte okuduğum insanlardan daha iyi sorular soruyorsun, Elif."
"d4.town.hoca.003","Eleven. Pause. Eleven. Pause. ...I counted the lamp. I'm counting lamps now.","On bir. Ara. On bir. Ara. ...Lambayı saydım. Şimdi lamba sayarım."
"d4.town.hoca.004","Everything is above us, Tarık Bey.","Her şey üstümüzde, Tarık Bey."
"d4.town.hoca.005","Dawn. I've never seen the square empty. It's honest like this. Unwatched.","Şafak. Meydanı hiç böyle boş görmemiştim. Böyleyken dürüst. İzlenmeden."
"d4.town.hoca.006","Champagne with no one, tea with Kadir. History gets the details wrong anyway.","Şampanya kimseyle değil, çay Kadir'le. Tarih zaten ayrıntıları yanlış hatırlar."
"d4.town.kadir.001","Six hours is three teas and a backgammon defeat. We'll manage you, Hoca.","Altı saat üç çay, bir de tavla yenilgisi eder. Seni idare ederiz, Hoca."
"d4.town.kadir.002","More tea. The clock has gone slow tonight. Tea helps it along.","Biraz daha çay. Saat bu gece ağırdan alıyor. Çay yardımcı olur."
"d4.town.kadir.003","Sit, Hocam. It'll keep hot. The kettle and I open when it matters.","Otur, Hocam. Sıcak kalır. İş ciddiyse çaydanlıkla ben açığız."
"d4.town.sukru.001","Sit. Actually sit this time. The board has been patient. I haven't.","Otur. Bu sefer gerçekten otur. Tahta sabretti. Ben etmedim."
"d4.town.sukru.002","Double fives. You see? Even the dice are on my side of history.","Çift beş. Gördün mü? Zarlar bile tarihin benim tarafında."
"d4.town.sys.001","MILLBROOK: SOURCE RISES FOR US IN SIX HOURS. WE WILL CALL.","MILLBROOK: KAYNAK BİZİM İÇİN ALTI SAAT SONRA DOĞACAK. ARAYACAĞIZ."
"d4.town.tarik.001","Is it above us, Hoca?","Üstümüzde mi, Hocam?"
"d4.town.ticker.001","...CONFIRMED BY SECOND SITE... IAA POST-DETECTION PROTOCOL INVOKED... RIO SCALE ASSESSED AT 4...","...İKİNCİ GÖZLEMEVİNDEN DOĞRULAMA... IAA TESPİT-SONRASI PROTOKOLÜ DEVREYE GİRDİ... RIO ÖLÇEĞİ 4 OLARAK BELİRLENDİ..."
"d5.home.choice.001","LOOK UP","YUKARI BAK"
"d5.home.choice.002","GO TO BED","YATAĞA GİT"
"d5.home.hoca.001","Taşlıca. It's pronounced — oh, what does it matter.","Taşlıca. Doğrusu şöyle söylenir — ah, ne fark eder ki."
"d5.home.hoca.002","Two of them. On Musa's roof. Photographing my dish before breakfast.","İki kişi. Musa'nın çatısında. Kahvaltıdan önce çanağımı fotoğraflıyorlar."
"d5.home.hoca.003","Yıldız. What is it. What's up there.","Yıldız. Ne var. Yukarıda ne var."
"d5.home.hoca.004","The paint has faded in the corner. Faded in a shape. That's... that's the dish. That's Kulak.","Köşede boya solmuş. Bir şekle solmuş. Bu... bu çanak. Bu Kulak."
"d5.home.hoca.005","And it has clearly been fading for years.","Ve belli ki yıllardır soluyormuş."
"d5.home.radio.001","...the signal, designated T1, detected at the Sarptepe National Observatory above the town of TASH-lidja...","...Taşlıca kasabasının üzerindeki Sarptepe Ulusal Gözlemevi'nde tespit edilen, T1 kodu verilen sinyal..."
"d5.home.radio.002","...experts urge calm while the International Academy of Astronautics convenes...","...Uluslararası Astronotik Akademisi toplanırken uzmanlar sükûnet çağrısı yapıyor..."
"d5.home.yildiz.001","Mrow. (She has opinions about the roof people.)","Miyav. (Çatı halkı hakkında fikirleri var.)"
"d5.obs.ada.001","Read it. Actually read it. It's the only law we ever passed for someone we hadn't met.","Oku. Gerçekten oku. Hiç tanımadığımız biri için çıkardığımız tek yasa bu."
"d5.obs.ada.002","Forty years of agreeing what we'd do. Undone before dinner.","Kırk yıllık mutabakat. Akşam yemeğinden önce bozuldu."
"d5.obs.ada.003","Everyone assumed the first reply would be a ceremony. It was an ambush. Ours.","Herkes ilk yanıtın bir tören olacağını sanıyordu. Bir pusuydu. Bizim pusumuz."
"d5.obs.choice.001","LISTEN","DİNLE"
"d5.obs.choice.002","LOG","KAYDET"
"d5.obs.choice.003","ANSWER","YANITLA"
"d5.obs.hoca.001","They answered it. Just like that. A reply, without asking what it was.","Yanıtladılar. Öylece. Ne olduğunu sormadan bir cevap."
"d5.obs.hoca.002","Everyone's gone. Ada at the pension. Metin home. Ebru asleep in the racks. It's me and the schedule.","Herkes gitti. Ada pansiyonda. Metin evde. Ebru raflarda uyuyor. Bir ben varım, bir de çizelge."
"d5.obs.hoca.003","Just listening. That's all this ever had to be.","Sadece dinlemek. Zaten hep bu kadar olması gerekiyordu."
"d5.obs.hoca.004","Logged. Filed. Untouched. Good night.","Kaydedildi. Dosyalandı. Dokunulmadı. İyi geceler."
"d5.obs.hoca.005","...The room is the same. The tea is the same temperature.","...Oda aynı. Çay aynı sıcaklıkta."
"d5.obs.hoca.006","Three seconds. My dish's voice. And nothing in the world admits it happened.","Üç saniye. Çanağımın sesi. Ve dünyada hiçbir şey bunun yaşandığını kabul etmiyor."
"d5.obs.sys.001","IAA DECLARATION, ARTICLE 8: NO REPLY TO A CONFIRMED SIGNAL SHALL BE SENT...","IAA BİLDİRGESİ, MADDE 8: DOĞRULANMIŞ BİR SİNYALE HİÇBİR YANIT GÖNDERİLEMEZ..."
"d5.obs.sys.002","...WITHOUT PRIOR INTERNATIONAL CONSULTATION. SIGNED, FORTY YEARS AGO, BY EVERYONE.","...ÖNCEDEN ULUSLARARASI İSTİŞARE YAPILMADAN. KIRK YIL ÖNCE, HERKES TARAFINDAN İMZALANDI."
"d5.obs.sys.003","SCHEDULE CELL OPEN. VERBS: LISTEN / LOG / ANSWER.","ÇİZELGE HÜCRESİ AÇIK. FİİLLER: DİNLE / KAYDET / YANITLA."
"d5.obs.sys.004","LOG APPENDED. CELL CLOSED.","KAYIT EKLENDİ. HÜCRE KAPANDI."
"d5.obs.sys.005","TRANSMISSION: CARRIER ONLY. 3.0 SECONDS. SOURCE: KULAK.","İLETİM: YALNIZCA TAŞIYICI. 3.0 SANİYE. KAYNAK: KULAK."
